latitude,longitude,junction,zone
13.0400041,77.5180991,Unknown,Unknown
12.9218755,77.6451585,Unknown,Unknown
12.955622,77.5857083,UrvashiJunction,Central Zone 2
13.0061469,77.5794348,Unknown,Unknown
12.95398,77.5852333,LalbaghMainGateJunc,Unknown
13.0664854,77.5998755,Unknown,North Zone 1
12.9328703,77.4879814,Unknown,Unknown
12.973175,77.6003961,Unknown,Unknown
12.97883573,77.59953728,QueensStatueCircle,Unknown
13.0373543,77.6540442,Unknown,Unknown
13.0008457,77.6813712,Unknown,Unknown
12.94457,77.5274017,MysoreRd-RingRdJunc(Nayandanahallii),Unknown
12.9995223,77.6827499,Unknown,Unknown
13.0418933,77.594705,HebbalFlyoverJunc,North Zone 1
12.975285,77.6256902,Unknown,Unknown
13.0633917,77.5933483,Unknown,Unknown
13.063425,77.5933,Unknown,Unknown
13.0254527,77.6417388,Unknown,Unknown
12.9233517,77.5904883,Unknown,Unknown
13.0001393,77.5840594,Unknown,Unknown
12.9071221,77.6286395,Unknown,Unknown
12.927375,77.5806883,Unknown,Unknown
12.9169074,77.5950955,28thMainJayanagarJunc,South Zone 1
12.9667047,77.6615983,Unknown,Unknown
12.8966387,77.7202071,Unknown,Unknown
12.9463911,77.597326,Unknown,Unknown
12.9856042,77.5977438,Unknown,Unknown
12.9077383,77.6005709,Unknown,Unknown
12.9635109,77.6642122,Unknown,Unknown
12.9667073,77.6615616,Unknown,Unknown
12.9666867,77.6616478,Unknown,Unknown
12.907814,77.6006561,Unknown,Unknown
12.8955737,77.5993711,Unknown,Unknown
12.92757,77.5832051,Unknown,Unknown
13.044697,77.5828546,Unknown,Unknown
12.9666885,77.6616396,Unknown,Unknown
12.9789228,77.5644032,Unknown,Unknown
12.8636494,77.6725849,Unknown,Unknown
12.9219483,77.6002467,Unknown,Unknown
12.9666597,77.661556,Unknown,Unknown
12.946469,77.6986754,Unknown,Unknown
12.9936273,77.5844677,Unknown,Unknown
12.9465079,77.6986339,Unknown,Unknown
13.0467058,77.5036495,Unknown,Unknown
13.0166142,77.5054464,Peenya14thCrossJunc,West Zone 1
13.0085677,77.6131497,Unknown,Unknown
13.0309717,77.5364661,Unknown,Unknown
13.0262806,77.5442344,Unknown,Unknown
12.9938639,77.5844374,Unknown,Unknown
12.9188682,77.6687736,Unknown,Unknown
12.9546127,77.6423399,Unknown,Unknown
12.936133,77.5187044,Unknown,Unknown
12.9694079,77.7006346,Unknown,Unknown
12.9849833,77.5883633,Unknown,Unknown
13.0127301,77.5545135,Unknown,Unknown
12.9842019,77.7336286,Unknown,Unknown
13.2644465,77.7187627,Unknown,Unknown
12.9848257,77.7527586,Unknown,Unknown
12.9932986,77.5837571,Unknown,Unknown
12.9937523,77.5842482,Unknown,Unknown
12.9938868,77.5841876,Unknown,Unknown
12.9368467,77.6928653,Unknown,Unknown
13.0126766,77.5581246,Unknown,Unknown
12.9513113,77.4994888,Unknown,Unknown
13.0160964,77.5068555,Unknown,Unknown
12.9807501,77.6028238,Unknown,Unknown
12.9165983,77.583705,Unknown,Unknown
13.0198619,77.6562235,Unknown,Unknown
13.0191848,77.6555127,Unknown,Unknown
12.9740913,77.5452252,Unknown,Unknown
12.9740971,77.5449011,Unknown,Unknown
12.9688926,77.569795,Unknown,Unknown
